month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,32.1,33.9,34.8,35.6,36.3,35.3,34.6,34.7,34.1,33,34.4,33.4
mintemp,22.5,24.9,26.8,26.9,28,26.7,26.8,26.8,26,25.8,26.4,25
water,3.5,16.8,183.9,128.9,82.5,459,220.8,50.5,352.4,334.2,34.9,42.7
rainday,4,3,6,10,7,12,13,8,21,20,7,2
