month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,32.9,33.9,35.6,36.9,36.7,35.8,34.5,33.7,33.8,32.3,32.7,32.5
mintemp,24.3,26.7,27.1,28.5,28.2,27.1,26.3,25.6,25.5,25.1,24.5,23.8
water,99.9,2.9,14.6,17.3,279.3,198.8,348.7,343.1,409.5,256.3,30.6,22.7
rainday,6,1,3,6,15,18,25,21,20,2,4,141
