month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,33.1,34.7,35.6,36.3,36.5,34.1,33,33.9,32.8,32.9,33.3,30.8
mintemp,23.9,26.4,27.3,27.8,27.7,26.5,26.1,26,25.5,25.3,25.3,21.1
water,41.2,7.2,38,89.9,149.2,175.6,200.1,233.6,364.1,392.3,79.9,1.6
rainday,6,2,3,6,15,21,22,24,23,14,11,1
