month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
maxtemp,32,32.7,33.7,34.9,34,33.1,32.7,32.5,32.3,32,31.6,31.3
mintemp,21,23.3,24.9,26.1,25.6,25.4,25,24.9,24.6,24.3,23.1,20.8
water,9.1,29.9,28.6,64.7,220.4,149.3,154.5,196.7,344.2,241.6,48.1,9.7
rainday,1,3,3,6,16,16,18,20,21,17,6,1
