month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,31.4,34.9,35.3,35.8,34,33.5,33.2,34.1,33.9,33.5,33.2,33.2
mintemp,20.8,25.2,26.4,26.3,25.9,26.4,25.9,25.7,25.4,24.9,23.9,23.9
water,0,0,30.2,359.6,463.4,219.3,175.7,354,351.8,264.2,30.6,7.3
rainday,0,0,6,12,22,14,18,19,22,19,3,2
