month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,32.6,33.5,34.9,36.7,36.3,33.9,33.9,34.1,33.2,33.1,33.5,32.7
mintemp,23.9,24.2,27,28.6,28.6,26.7,26.7,26.9,26,26,26.1,24.8
water,72.6,0,54.1,32.1,101.7,464.3,162.7,348.8,356,293.8,121.7,0
rainday,8,0,2,1,6,16,13,19,22,19,9,0
