month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,32.5,34.1,31.5,34.2,34.5,33.7,33.3,33.2,33.1,33,34.2,32
mintemp,22.6,25.3,24.1,26.1,26.9,26.7,25.6,25.8,25.7,25.3,25.6,22.8
water,0.3,21.8,173.3,134.7,296.5,411.9,317.6,297,223.6,362,0.9,0.7
rainday,1,6,11,8,20,24,24,24,22,19,1,1
