month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,32.5,34.5,35.4,36,34.5,34.3,33.1,33.9,34.1,32.6,32.5,31
mintemp,24.8,25,27.1,27.7,26.8,26.7,26.1,26.6,26.2,25.7,25.4,23.4
water,45.1,0,106.3,13.4,486.7,228.8,319.6,370.7,445.8,561.3,45.6,52.5
rainday,4,0,5,5,18,17,15,22,22,19,6,6
