month,jan,feb,mar,aprill,may,june,ju,august,sep,oct,nov,decem
maxtemp,32.1,33.3,34.7,36.9,37.4,35,34.2,33.9,34.2,33.5,34.4,32.5
mintemp,20.9,24.7,26.6,28.2,28.1,27.4,26.8,26,26.1,25.6,25.9,23.9
water,0,2.1,39.6,7.8,99.9,147.4,98.2,276,188,211.2,22.5,31
rainday,0,2,2,2,12,17,16,24,20,20,7,3
