month,maxtemp,mintemp,water,rainday
Jan.,33.1,25,44.2,8
Feb.,33.6,25.7,64.9,5
Mar.,36,27.1,24.1,3
Apr.,36.9,27.8,56.1,6
May,35.6,27.4,121.9,14
Jun.,34.2,26.8,134.8,13
Jul.,33.5,26.1,196.4,21
Aug.,33.5,25.9,186.6,21
Sep.,32.9,25.2,601.1,25
Oct.,33.6,25.8,201.2,16
Nov.,33.6,25.8,88.9,10
Dec.,34.1,25.4,8.1,2
