month,maxtemp,mintemp,water,rainday
Jan.,32.9,24.3,99.9,6
Feb.,33.9,26.7,2.9,1
Mar.,35.6,27.1,14.6,3
Apr.,36.9,28.5,17.3,6
May,36.7,28.2,279.3,15
Jun.,35.8,27.1,198.8,18
Jul.,34.5,26.3,348.7,25
Aug.,33.7,25.6,343.1,21
Sep.,33.8,25.5,409.5,20
Oct.,32.3,25.1,256.3,2
Nov.,32.7,24.5,30.6,4
Dec.,32.5,23.8,22.7,141
