month,maxtemp,mintemp,water,rainday
Jan.,32.5,22.6,0.3,1
Feb.,34.1,25.3,21.8,6
Mar.,31.5,24.1,173.3,11
Apr.,34.2,26.1,134.7,8
May,34.5,26.9,296.5,20
Jun.,33.7,26.7,411.9,24
Jul.,33.3,25.6,317.6,24
Aug.,33.2,25.8,297,24
Sep.,33.1,25.7,223.6,22
Oct.,33,25.3,362,19
Nov.,34.2,25.6,0.9,1
Dec.,32,22.8,0.7,1
