month,maxtemp,mintemp,water,rainday
Jan.,32.5,24.8,45.1,4
Feb.,34.5,25,0,0
Mar.,35.4,27.1,106.3,5
Apr.,36,27.7,13.4,5
May,34.5,26.8,486.7,18
Jun.,34.3,26.7,228.8,17
Jul.,33.1,26.1,319.6,15
Aug.,33.9,26.6,370.7,22
Sep.,34.1,26.2,445.8,22
Oct.,32.6,25.7,561.3,19
Nov.,32.5,25.4,45.6,6
Dec.,31,23.4,52.5,6
