month,maxtemp,mintemp,water,rainday
Jan.,31.4,20.8,0,0
Feb.,34.9,25.2,0,0
Mar.,35.3,26.4,30.2,6
Apr.,35.8,26.3,359.6,12
May,34,25.9,463.4,22
Jun.,33.5,26.4,219.3,14
Jul.,33.2,25.9,175.7,18
Aug.,34.1,25.7,354,19
Sep.,33.9,25.4,351.8,22
Oct.,33.5,24.9,264.2,19
Nov.,33.2,23.9,30.6,3
Dec.,33.2,23.9,7.3,2
