month,maxtemp,mintemp,water,rainday
Jan.,32.1,20.9,0,0
Feb.,33.3,24.7,2.1,2
Mar.,34.7,26.6,39.6,2
Apr.,36.9,28.2,7.8,2
May,37.4,28.1,99.9,12
Jun.,35,27.4,147.4,17
Jul.,34.2,26.8,98.2,16
Aug.,33.9,26,276,24
Sep.,34.2,26.1,188,20
Oct.,33.5,25.6,211.2,20
Nov.,34.4,25.9,22.5,7
Dec.,32.5,23.9,31,3
