month,maxtemp,mintemp,water,rainday
Jan.,33.1,23.9,41.2,6
Feb.,34.7,26.4,7.2,2
Mar.,35.6,27.3,38,3
Apr.,36.3,27.8,89.9,6
May,36.5,27.7,149.2,15
Jun.,34.1,26.5,175.6,21
Jul.,33,26.1,200.1,22
Aug.,33.9,26,233.6,24
Sep.,32.8,25.5,364.1,23
Oct.,32.9,25.3,392.3,14
Nov.,33.3,25.3,79.9,11
Dec.,30.8,21.1,1.6,1
