month,maxtemp,mintemp,water,rainday
Jan.,32.1,22.5,3.5,4
Feb.,33.9,24.9,16.8,3
Mar.,34.8,26.8,183.9,6
Apr.,35.6,26.9,128.9,10
May,36.3,28,82.5,7
Jun.,35.3,26.7,459,12
Jul.,34.6,26.8,220.8,13
Aug.,34.7,26.8,50.5,8
Sep.,34.1,26,352.4,21
Oct.,33,25.8,334.2,20
Nov.,34.4,26.4,34.9,7
Dec.,33.4,25,42.7,2
