month,maxtemp,mintemp,water,rainday
jan,32.5,22.6,13.3,1
feb,33.3,24.4,20,3
mar,34.3,25.9,42.1,3
aprill,35.4,26.9,91.4,6
may,34.4,26.3,247.7,16
june,33.6,26.1,157.1,16
ju,33.2,25.7,175.1,18
august,32.9,25.5,219.3,20
sep,32.8,25,334.3,21
oct,32.6,24.8,292.1,17
nov,32.4,23.9,49.5,6
decem,31.7,22,6.3,1
total,33.26,24.93,1648.2,128
