month,maxtemp,mintemp,water,rainday
jan,33.1,23.9,41.2,6
feb,34.7,26.4,7.2,2
mar,35.6,27.3,38,3
aprill,36.3,27.8,89.9,6
may,36.5,27.7,149.2,15
june,34.1,26.5,175.6,21
ju,33,26.1,200.1,22
august,33.9,26,233.6,24
sep,32.8,25.5,364.1,23
oct,32.9,25.3,392.3,14
nov,33.3,25.3,79.9,11
decem,30.8,21.1,1.6,1
total,33.9,25.7,147.7,148
