month,maxtemp,mintemp,water,rainday
jan,32,21,9.1,1
feb,32.7,23.3,29.9,3
mar,33.7,24.9,28.6,3
aprill,34.9,26.1,64.7,6
may,34,25.6,220.4,16
june,33.1,25.4,149.3,16
ju,32.7,25,154.5,18
august,32.5,24.9,196.7,20
sep,32.3,24.6,344.2,21
oct,32,24.3,241.6,17
nov,31.6,23.1,48.1,6
decem,31.3,20.8,9.7,1
total,32.7,24,124.7,128
