month,maxtemp,mintemp,water,rainday
jan,31.4,20.8,0,0
feb,34.9,25.2,0,0
mar,35.3,26.4,30.2,6
aprill,35.8,26.3,359.6,12
may,34,25.9,463.4,22
june,33.5,26.4,219.3,14
ju,33.2,25.9,175.7,18
august,34.1,25.7,354,19
sep,33.9,25.4,351.8,22
oct,33.5,24.9,264.2,19
nov,33.2,23.9,30.6,3
decem,33.2,23.9,7.3,2
total,33.8,25,188,137
