month,maxtemp,mintemp,water,rainday
jan,33.1,25,44.2,8
feb,33.6,25.7,64.9,5
mar,36,27.1,24.1,3
aprill,36.9,27.8,56.1,6
may,35.6,27.4,121.9,14
june,34.2,26.8,134.8,13
ju,33.5,26.1,196.4,21
august,33.5,25.9,186.6,21
sep,32.9,25.2,601.1,25
oct,33.6,25.8,201.2,16
nov,33.6,25.8,88.9,10
decem,34.1,25.4,8.1,2
total,34.2,26.1,144,144
