month,maxtemp,mintemp,water,rainday
jan,32.5,22.6,0.3,1
feb,34.1,25.3,21.8,6
mar,31.5,24.1,173.3,11
aprill,34.2,26.1,134.7,8
may,34.5,26.9,296.5,20
june,33.7,26.7,411.9,24
ju,33.3,25.6,317.6,24
august,33.2,25.8,297,24
sep,33.1,25.7,223.6,22
oct,33,25.3,362,19
nov,34.2,25.6,0.9,1
decem,32,22.8,0.7,1
total,33.2,25.2,186.6,161
