month,maxtemp,mintemp,water,rainday
Jan.,32.6,23.9,72.6,8
Feb.,33.5,24.2,0,0
Mar.,34.9,27,54.1,2
Apr.,36.7,28.6,32.1,1
May,36.3,28.6,101.7,6
Jun.,33.9,26.7,464.3,16
Jul.,33.9,26.7,162.7,13
Aug.,34.1,26.9,348.8,19
Sep.,33.2,26,356,22
Oct.,33.1,26,293.8,19
Nov.,33.5,26.1,121.7,9
Dec.,32.7,24.8,0,0
